year,flujo,macro_sector,lv1,lit_lv1,lv2,lit_lv2,lv3,lit_lv3,lv4,lit_lv4,total_millones,top_paises_lv1,tva_lv1,top_paises_lv2,tva_lv2,top_paises_lv3,tva_lv3,top_paises_lv4,tva_lv4
2025,E,Agroalimentario,23,"Semillas, oleaginosas, mandíoca y forraje",2311,"Semillas, oleaginosas, mandíoca y forraje",231111,Soja,NA,NA,9.35,"Francia, Portugal, Emiratos Árabes Unidos",23.9,"Francia, Portugal, Emiratos Árabes Unidos",23.9,"Alemania, Portugal, Francia",221.2,"Alemania, Portugal, Francia",221.2
2025,E,Agroalimentario,23,"Semillas, oleaginosas, mandíoca y forraje",2311,"Semillas, oleaginosas, mandíoca y forraje",231112,Girasol,NA,NA,110.65,"Francia, Portugal, Emiratos Árabes Unidos",23.9,"Francia, Portugal, Emiratos Árabes Unidos",23.9,"Francia, Ucrania, Rumanía",43.1,"Francia, Ucrania, Rumanía",43.1
2025,E,Agroalimentario,23,"Semillas, oleaginosas, mandíoca y forraje",2311,"Semillas, oleaginosas, mandíoca y forraje",231113,Otros productos del cápitulo 12,NA,NA,457.99,"Francia, Portugal, Emiratos Árabes Unidos",23.9,"Francia, Portugal, Emiratos Árabes Unidos",23.9,"Francia, Portugal, Alemania",7.9,"Francia, Portugal, Alemania",7.9
2025,E,Agroalimentario,23,"Semillas, oleaginosas, mandíoca y forraje",2311,"Semillas, oleaginosas, mandíoca y forraje",231114,Forrajes,NA,NA,343.52,"Francia, Portugal, Emiratos Árabes Unidos",23.9,"Francia, Portugal, Emiratos Árabes Unidos",23.9,"Emiratos Árabes Unidos, Arabia Saudí, Jordania",43.4,"Emiratos Árabes Unidos, Arabia Saudí, Jordania",43.4
2025,E,Agroalimentario,23,"Semillas, oleaginosas, mandíoca y forraje",2311,"Semillas, oleaginosas, mandíoca y forraje",231115,Mandioca,NA,NA,42.11,"Francia, Portugal, Emiratos Árabes Unidos",23.9,"Francia, Portugal, Emiratos Árabes Unidos",23.9,"Francia, Portugal, Reino Unido",26.1,"Francia, Portugal, Reino Unido",26.1
2025,E,Agroalimentario,24,"Café, té, cacao y azucar",2411,"Café, té, cacao y azucar",241111,Café,NA,NA,554.8,"Francia, Portugal, Italia",39.1,"Francia, Portugal, Italia",39.1,"Portugal, Francia, Italia",48.9,"Portugal, Francia, Italia",48.9
2025,E,Agroalimentario,24,"Café, té, cacao y azucar",2411,"Café, té, cacao y azucar",241112,Extractos de café,NA,NA,830.49,"Francia, Portugal, Italia",39.1,"Francia, Portugal, Italia",39.1,"Reino Unido, Francia, Turquía",26.5,"Reino Unido, Francia, Turquía",26.5
2025,E,Agroalimentario,24,"Café, té, cacao y azucar",2411,"Café, té, cacao y azucar",241113,Sucedaneos de café,NA,NA,8.39,"Francia, Portugal, Italia",39.1,"Francia, Portugal, Italia",39.1,"Francia, Portugal, Túnez",78,"Francia, Portugal, Túnez",78
2025,E,Agroalimentario,24,"Café, té, cacao y azucar",2411,"Café, té, cacao y azucar",241114,Té,NA,NA,80.45,"Francia, Portugal, Italia",39.1,"Francia, Portugal, Italia",39.1,"Portugal, Francia, Alemania",18.5,"Portugal, Francia, Alemania",18.5
2025,E,Agroalimentario,24,"Café, té, cacao y azucar",2411,"Café, té, cacao y azucar",241115,Cacao,NA,NA,927.65,"Francia, Portugal, Italia",39.1,"Francia, Portugal, Italia",39.1,"Francia, Italia, Estados Unidos",65.9,"Francia, Italia, Estados Unidos",65.9
