"year","flujo","macro_sector","lv1","lit_lv1","lv2","lit_lv2","lv3","lit_lv3","total_millones","top_paises_lv1","tva_lv1","top_paises_lv2","tva_lv2","top_paises_lv3","tva_lv3"
2021,"E","Agroalimentario","17","Hortalizas y legumbres","1711","Hortalizas y legumbres","171121","Hortalizas conservadas o secas",120.83,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Italia",NA
2021,"E","Agroalimentario","17","Hortalizas y legumbres","1711","Hortalizas y legumbres","171122","Legumbres",41.83,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Alemania, Países Bajos, Francia",NA
2021,"E","Agroalimentario","18","Frutas","1811","Frutas","181111","Cítricos",3497.45,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA
2021,"E","Agroalimentario","18","Frutas","1811","Frutas","181112","Melones y sandías",732.74,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA
2021,"E","Agroalimentario","18","Frutas","1811","Frutas","181114","Fresas",722.54,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Alemania, Reino Unido, Francia",NA
2021,"E","Agroalimentario","18","Frutas","1811","Frutas","181115","Los demás frutos rojos",987.99,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Alemania, Reino Unido, Países Bajos",NA
2021,"E","Agroalimentario","18","Frutas","1811","Frutas","181116","Caquis",203.37,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Alemania, Italia, Francia",NA
2021,"E","Agroalimentario","18","Frutas","1811","Frutas","181117","Manzanas, peras y membrillos",212.4,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Italia, Francia, Marruecos",NA
2021,"E","Agroalimentario","18","Frutas","1811","Frutas","181118","Plátano",6.28,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Portugal, Francia, Rumanía",NA
2021,"E","Agroalimentario","18","Frutas","1811","Frutas","181119","Almendras y avellanas",668.39,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Italia",NA
