macro_sector,lv1,lit_lv1,lv2,lit_lv2,lv3,lit_lv3,codigo_nc8
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111313,Carne congelada de  porcino,02032915
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111313,Carne congelada de  porcino,02032955
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111313,Carne congelada de  porcino,02032959
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111313,Carne congelada de  porcino,02032990
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111314,Tocino de porcino,02091011
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111314,Tocino de porcino,02091019
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111314,Tocino de porcino,02091090
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111315,Jamones y paleta de porcino,02101111
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111315,Jamones y paleta de porcino,02101119
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111315,Jamones y paleta de porcino,02101131
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111315,Jamones y paleta de porcino,02101139
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111315,Jamones y paleta de porcino,02101190
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111315,Jamones y paleta de porcino,02101981
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111316,Preparaciones de  porcino,02101211
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111316,Preparaciones de  porcino,02101219
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111316,Preparaciones de  porcino,02101290
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111316,Preparaciones de  porcino,02101910
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111316,Preparaciones de  porcino,02101920
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111316,Preparaciones de  porcino,02101930
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111316,Preparaciones de  porcino,02101940
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111316,Preparaciones de  porcino,02101950
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111316,Preparaciones de  porcino,02101960
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111316,Preparaciones de  porcino,02101970
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111316,Preparaciones de  porcino,02101989
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111316,Preparaciones de  porcino,02101990
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111316,Preparaciones de  porcino,02109949
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111316,Preparaciones de  porcino,16010010
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111316,Preparaciones de  porcino,16010091
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111316,Preparaciones de  porcino,16010099
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111316,Preparaciones de  porcino,16021000
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111316,Preparaciones de  porcino,16022090
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111316,Preparaciones de  porcino,16024110
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111316,Preparaciones de  porcino,16024190
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111316,Preparaciones de  porcino,16024210
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111316,Preparaciones de  porcino,16024290
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111316,Preparaciones de  porcino,16024911
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111316,Preparaciones de  porcino,16024913
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111316,Preparaciones de  porcino,16024915
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111316,Preparaciones de  porcino,16024919
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111316,Preparaciones de  porcino,16024930
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111316,Preparaciones de  porcino,16024950
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111316,Preparaciones de  porcino,16024990
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111316,Preparaciones de  porcino,16029010
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111316,Preparaciones de  porcino,16029051
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111317,Despojos de  porcino,02063000
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111317,Despojos de  porcino,02064100
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111317,Despojos de  porcino,02064900
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111411,Animales vivos de  aves,01051111
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111411,Animales vivos de  aves,01051119
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111411,Animales vivos de  aves,01051191
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111411,Animales vivos de  aves,01051199
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111411,Animales vivos de  aves,01051200
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111411,Animales vivos de  aves,01051300
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111411,Animales vivos de  aves,01059400
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111411,Animales vivos de  aves,01059930
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02071110
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02071130
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02071190
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02071210
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02071290
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02071310
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02071320
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02071330
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02071340
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02071350
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02071360
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02071370
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02071391
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02071399
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02071410
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02071420
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02071430
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02071440
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02071450
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02071460
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02071470
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02071491
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02071499
